Drop;45;1181;
Drop;93;1144;
Drop;77;1190;
Drop;14;1162;
Drop;92;1140;
Drop;56;1214;
Drop;6;1179;
Drop;19;1210;
Drop;42;1158;
Drop;67;1204;
Drop;69;1216;
Drop;61;1182;
Drop;89;1200;
Drop;75;1220;
Drop;43;1148;
Drop;38;1172;
Drop;80;1192;
Drop;2;1221;
Drop;29;1175;
Drop;49;1142;
Drop;70;1228;
Drop;58;1138;
Drop;12;1197;
Drop;87;1135;
Drop;28;1188;
Drop;79;1209;
Drop;1;1167;
Drop;17;1159;
Drop;65;1203;
Drop;31;1174;
Drop;20;1168;
Drop;11;1183;
Drop;18;1155;
Drop;95;1163;
Drop;82;1153;
Drop;57;1154;
Drop;4;1219;
Drop;34;1191;
Drop;22;1194;
Drop;21;1211;
Drop;66;1147;
Drop;55;1164;
Drop;71;1149;
Drop;84;1169;
Drop;90;1171;
Drop;8;1215;
Drop;51;1134;
Drop;54;1151;
Drop;36;1184;
Drop;40;1186;
Drop;26;1187;
Drop;39;1196;
Drop;59;1224;
Drop;63;1217;
Drop;10;1223;
Drop;46;1161;
Drop;37;1198;
Drop;78;1152;
Drop;16;1139;
Drop;48;1226;
Drop;60;1178;
Drop;73;1157;
Drop;62;1146;
Drop;52;1227;
Drop;76;1165;
Drop;9;1166;
Drop;3;1141;
Drop;94;1170;
Drop;83;1145;
Drop;27;1193;
Drop;30;1201;
Drop;5;1176;
Drop;47;1195;
Drop;15;1225;
Drop;68;1185;
Drop;64;1207;
Drop;32;1205;
Drop;13;1218;
Drop;41;1206;
Drop;88;1213;
Drop;72;1150;
Drop;91;1177;
Drop;33;1208;
Drop;24;1137;
Drop;50;1199;
Drop;81;1143;
Drop;44;1222;
Drop;7;1160;
Drop;74;1202;
Drop;25;1156;
Drop;86;1189;
Drop;85;1180;
Drop;0;1136;
Drop;53;1173;
Drop;23;1229;
Drop;35;1212;
Distribution;97;
Distribution;102;
Distribution;184;997;91;92;93;901;
Distribution;142;477;
Distribution;204;446;858;
Distribution;193;857;952;
Distribution;143;951;810;
Distribution;144;1011;1010;
Distribution;120;939;
Distribution;181;694;
Distribution;165;693;
Distribution;166;319;318;425;322;323;324;865;
Distribution;115;866;326;327;887;
Distribution;116;888;426;
Distribution;176;615;685;
Distribution;177;467;687;34;367;766;
Distribution;126;765;722;
Distribution;127;721;
Distribution;207;675;122;846;
Distribution;194;845;1001;
Distribution;182;1000;119;368;586;
Distribution;183;587;128;391;229;
Distribution;211;973;
Distribution;119;891;
Distribution;133;574;634;
Distribution;179;633;416;689;
Distribution;180;690;299;417;985;
Distribution;164;938;983;
Distribution;100;854;371;64;808;380;591;
Distribution;109;498;
Distribution;186;463;
Distribution;134;1128;433;
Distribution;210;748;
Distribution;167;382;89;88;87;86;626;
Distribution;168;993;
Distribution;178;992;718;
Distribution;101;928;
Distribution;191;555;
Distribution;145;762;771;772;600;641;
Distribution;157;451;
Distribution;153;1120;569;
Distribution;199;1009;
Distribution;169;448;
Distribution;150;610;596;864;1005;
Distribution;123;1004;775;896;
Distribution;124;533;
Distribution;203;453;
Distribution;189;837;290;880;
Distribution;158;879;288;287;646;
Distribution;129;645;413;277;278;279;280;1130;
Distribution;130;1131;136;612;613;
Distribution;197;595;861;
Distribution;161;1006;1007;
Distribution;162;774;897;
Distribution;209;898;853;
Distribution;185;1123;535;
Distribution;196;902;678;
Distribution;131;81;978;
Distribution;132;979;
Distribution;202;605;637;
Distribution;192;917;
Distribution;106;918;935;
Distribution;107;984;
Distribution;121;794;
Distribution;122;824;
Distribution;174;823;682;
Distribution;159;681;41;40;842;
Distribution;160;956;
Distribution;200;552;
Distribution;172;958;827;
Distribution;140;828;962;
Distribution;141;963;631;
Distribution;154;632;615;685;686;47;1012;
Distribution;170;490;755;168;778;
Distribution;171;788;
Distribution;117;787;944;
Distribution;118;943;165;
Distribution;195;379;743;
Distribution;98;744;590;
Distribution;108;986;
Distribution;173;987;
Distribution;138;698;178;179;757;
Distribution;139;758;
Distribution;201;441;
Distribution;190;561;
Distribution;125;982;309;422;314;315;316;669;
Distribution;110;670;
Distribution;111;579;261;262;715;
Distribution;198;716;161;959;
Distribution;103;960;927;
Distribution;151;770;598;
Distribution;152;643;
Distribution;187;644;729;
Distribution;188;730;968;
Distribution;208;969;849;
Distribution;155;850;219;831;
Distribution;156;832;221;1132;
Distribution;206;1133;387;150;942;941;
Distribution;114;734;412;79;80;
Distribution;175;931;12;
Distribution;217;924;
Distribution;215;427;294;293;926;
Distribution;216;151;378;170;756;
Distribution;220;755;168;778;
Distribution;218;788;
Distribution;219;787;944;
Distribution;213;943;165;
Distribution;214;379;743;
Distribution;99;744;590;
Distribution;163;1125;843;957;
Distribution;128;1127;
Distribution;112;1126;
Distribution;113;67;66;358;742;
Distribution;135;1013;
Distribution;136;782;
Distribution;148;1232;1233;
Distribution;149;948;
Distribution;96;380;591;
Distribution;137;907;
Distribution;205;908;
Distribution;146;933;934;618;
Distribution;147;620;
Distribution;212;11;10;375;154;153;152;
Feeder;104;591;380;948;1233;1232;782;1013;1012;47;686;467;687;34;367;766;765;722;721;675;122;846;845;1001;1000;119;368;586;587;128;391;229;973;748;382;89;88;87;
Feeder;105;928;718;992;993;626;86;
